-2 -6.299 2 0.299
-1.99 -6.2491 1.99 0.299
-1.98 -6.1994 1.98 0.299
-1.97 -6.1499 1.97 0.299
-1.96 -6.1006 1.96 0.299
-1.95 -6.0515 1.95 0.299
-1.94 -6.0026 1.94 0.299
-1.93 -5.9539 1.93 0.299
-1.92 -5.9054 1.92 0.299
-1.91 -5.8571 1.91 0.299
-1.9 -5.809 1.9 0.299
-1.89 -5.7611 1.89 0.299
-1.88 -5.7134 1.88 0.299
-1.87 -5.6659 1.87 0.299
-1.86 -5.6186 1.86 0.299
-1.85 -5.5715 1.85 0.299
-1.84 -5.5246 1.84 0.299
-1.83 -5.4779 1.83 0.299
-1.82 -5.4314 1.82 0.299
-1.81 -5.3851 1.81 0.299
-1.8 -5.339 1.8 0.299
-1.79 -5.2931 1.79 0.299
-1.78 -5.2474 1.78 0.299
-1.77 -5.2019 1.77 0.299
-1.76 -5.1566 1.76 0.299
-1.75 -5.1115 1.75 0.299
-1.74 -5.0666 1.74 0.299
-1.73 -5.0219 1.73 0.299
-1.72 -4.9774 1.72 0.299
-1.71 -4.9331 1.71 0.299
-1.7 -4.889 1.7 0.299
-1.69 -4.8451 1.69 0.299
-1.68 -4.8014 1.68 0.299
-1.67 -4.7579 1.67 0.299
-1.66 -4.7146 1.66 0.299
-1.65 -4.6715 1.65 0.299
-1.64 -4.6286 1.64 0.299
-1.63 -4.5859 1.63 0.299
-1.62 -4.5434 1.62 0.299
-1.61 -4.5011 1.61 0.299
-1.6 -4.459 1.6 0.299
-1.59 -4.4171 1.59 0.299
-1.58 -4.3754 1.58 0.299
-1.57 -4.3339 1.57 0.299
-1.56 -4.2926 1.56 0.299
-1.55 -4.2515 1.55 0.299
-1.54 -4.2106 1.54 0.299
-1.53 -4.1699 1.53 0.299
-1.52 -4.1294 1.52 0.299
-1.51 -4.0891 1.51 0.299
-1.5 -4.049 1.5 0.299
-1.49 -4.0091 1.49 0.299
-1.48 -3.9694 1.48 0.299
-1.47 -3.9299 1.47 0.299
-1.46 -3.8906 1.46 0.299
-1.45 -3.8515 1.45 0.299
-1.44 -3.8126 1.44 0.299
-1.43 -3.7739 1.43 0.299
-1.42 -3.7354 1.42 0.299
-1.41 -3.6971 1.41 0.299
-1.4 -3.659 1.4 0.299
-1.39 -3.6211 1.39 0.299
-1.38 -3.5834 1.38 0.299
-1.37 -3.5459 1.37 0.299
-1.36 -3.5086 1.36 0.299
-1.35 -3.4715 1.35 0.299
-1.34 -3.4346 1.34 0.299
-1.33 -3.3979 1.33 0.299
-1.32 -3.3614 1.32 0.299
-1.31 -3.3251 1.31 0.299
-1.3 -3.289 1.3 0.299
-1.29 -3.2531 1.29 0.299
-1.28 -3.2174 1.28 0.299
-1.27 -3.1819 1.27 0.299
-1.26 -3.1466 1.26 0.299
-1.25 -3.1115 1.25 0.299
-1.24 -3.0766 1.24 0.299
-1.23 -3.0419 1.23 0.299
-1.22 -3.0074 1.22 0.299
-1.21 -2.9731 1.21 0.299
-1.2 -2.939 1.2 0.299
-1.19 -2.9051 1.19 0.299
-1.18 -2.8714 1.18 0.299
-1.17 -2.8379 1.17 0.299
-1.16 -2.8046 1.16 0.299
-1.15 -2.7715 1.15 0.299
-1.14 -2.7386 1.14 0.299
-1.13 -2.7059 1.13 0.299
-1.12 -2.6734 1.12 0.299
-1.11 -2.6411 1.11 0.299
-1.1 -2.609 1.1 0.299
-1.09 -2.5771 1.09 0.299
-1.08 -2.5454 1.08 0.299
-1.07 -2.5139 1.07 0.299
-1.06 -2.4826 1.06 0.299
-1.05 -2.4515 1.05 0.299
-1.04 -2.4206 1.04 0.299
-1.03 -2.3899 1.03 0.299
-1.02 -2.3594 1.02 0.299
-1.01 -2.3291 1.01 0.299
-1 -2.299 1 0.299
-0.99 -2.2691 0.99 0.299
-0.98 -2.2394 0.98 0.299
-0.97 -2.2099 0.97 0.299
-0.96 -2.1806 0.96 0.299
-0.95 -2.1515 0.95 0.299
-0.94 -2.1226 0.94 0.299
-0.93 -2.0939 0.93 0.299
-0.92 -2.0654 0.92 0.299
-0.91 -2.0371 0.91 0.299
-0.9 -2.009 0.9 0.299
-0.89 -1.9811 0.89 0.299
-0.88 -1.9534 0.88 0.299
-0.87 -1.9259 0.87 0.299
-0.86 -1.8986 0.86 0.299
-0.85 -1.8715 0.85 0.299
-0.84 -1.8446 0.84 0.299
-0.83 -1.8179 0.83 0.299
-0.82 -1.7914 0.82 0.299
-0.81 -1.7651 0.81 0.299
-0.8 -1.739 0.8 0.299
-0.79 -1.7131 0.79 0.299
-0.78 -1.6874 0.78 0.299
-0.77 -1.6619 0.77 0.299
-0.76 -1.6366 0.76 0.299
-0.75 -1.6115 0.75 0.299
-0.74 -1.5866 0.74 0.299
-0.73 -1.5619 0.73 0.299
-0.72 -1.5374 0.72 0.299
-0.71 -1.5131 0.71 0.299
-0.7 -1.489 0.7 0.299
-0.69 -1.4651 0.69 0.299
-0.68 -1.4414 0.68 0.299
-0.67 -1.4179 0.67 0.299
-0.66 -1.3946 0.66 0.299
-0.65 -1.3715 0.65 0.299
-0.64 -1.3486 0.64 0.299
-0.63 -1.3259 0.63 0.299
-0.62 -1.3034 0.62 0.299
-0.61 -1.2811 0.61 0.299
-0.6 -1.259 0.6 0.299
-0.59 -1.2371 0.59 0.299
-0.58 -1.2154 0.58 0.299
-0.57 -1.1939 0.57 0.299
-0.56 -1.1726 0.56 0.299
-0.55 -1.1515 0.55 0.299
-0.54 -1.1306 0.54 0.299
-0.53 -1.1099 0.53 0.299
