-3 -12.24 3
-2.97 -12.0309 2.97
-2.94 -11.8236 2.94
-2.91 -11.6181 2.91
-2.88 -11.4144 2.88
-2.85 -11.2125 2.85
-2.82 -11.0124 2.82
-2.79 -10.8141 2.79
-2.76 -10.6176 2.76
-2.73 -10.4229 2.73
-2.7 -10.23 2.7
-2.67 -10.0389 2.67
-2.64 -9.8496 2.64
-2.61 -9.6621 2.61
-2.58 -9.4764 2.58
-2.55 -9.2925 2.55
-2.52 -9.1104 2.52
-2.49 -8.9301 2.49
-2.46 -8.7516 2.46
-2.43 -8.5749 2.43
-2.4 -8.4 2.4
-2.37 -8.2269 2.37
-2.34 -8.0556 2.34
-2.31 -7.8861 2.31
-2.28 -7.7184 2.28
-2.25 -7.5525 2.25
-2.22 -7.3884 2.22
-2.19 -7.2261 2.19
-2.16 -7.0656 2.16
-2.13 -6.9069 2.13
-2.1 -6.75 2.1
-2.07 -6.5949 2.07
-2.04 -6.4416 2.04
-2.01 -6.2901 2.01
-1.98 -6.1404 1.98
-1.95 -5.9925 1.95
-1.92 -5.8464 1.92
-1.89 -5.7021 1.89
-1.86 -5.5596 1.86
-1.83 -5.4189 1.83
-1.8 -5.28 1.8
-1.77 -5.1429 1.77
-1.74 -5.0076 1.74
-1.71 -4.8741 1.71
-1.68 -4.7424 1.68
-1.65 -4.6125 1.65
-1.62 -4.4844 1.62
-1.59 -4.3581 1.59
-1.56 -4.2336 1.56
-1.53 -4.1109 1.53
-1.5 -3.99 1.5
-1.47 -3.8709 1.47
-1.44 -3.7536 1.44
-1.41 -3.6381 1.41
-1.38 -3.5244 1.38
-1.35 -3.4125 1.35
-1.32 -3.3024 1.32
-1.29 -3.1941 1.29
-1.26 -3.0876 1.26
-1.23 -2.9829 1.23
-1.2 -2.88 1.2
-1.17 -2.7789 1.17
-1.14 -2.6796 1.14
-1.11 -2.5821 1.11
-1.08 -2.4864 1.08
-1.05 -2.3925 1.05
-1.02 -2.3004 1.02
-0.99 -2.2101 0.99
-0.96 -2.1216 0.96
-0.93 -2.0349 0.93
-0.9 -1.95 0.9
-0.87 -1.8669 0.87
-0.84 -1.7856 0.84
-0.81 -1.7061 0.81
-0.78 -1.6284 0.78
-0.75 -1.5525 0.75
-0.72 -1.4784 0.72
-0.69 -1.4061 0.69
-0.66 -1.3356 0.66
-0.63 -1.2669 0.63
-0.6 -1.2 0.6
-0.57 -1.1349 0.57
-0.54 -1.0716 0.54
-0.51 -1.0101 0.51
-0.48 -0.9504 0.48
-0.45 -0.8925 0.45
-0.42 -0.8364 0.42
-0.39 -0.7821 0.39
-0.36 -0.7296 0.36
-0.33 -0.6789 0.33
-0.3 -0.63 0.3
-0.27 -0.5829 0.27
-0.24 -0.5376 0.24
-0.21 -0.4941 0.21
-0.18 -0.4524 0.18
